
Host: d-snes-l-dc-01

Timers On : Fri Sep 21 17:36:52 2018
Timers Off: Fri Sep 21 17:36:56 2018

Wall Time:        3.22 seconds

| JKGrad: ABx               :      0.067u      0.000s      0.022w      1 calls
| JKGrad: Amnx              :      0.583u      0.017s      0.177w      1 calls
Grad: XC                    :      0.750u      0.000s      0.220w      1 calls
| Properties                :      0.202p                            920 calls
| Functional                :      0.079p                            920 calls
| V_xc gradient             :      0.144p                            920 calls

***********************************************************

Host: d-snes-l-dc-01

Timers On : Fri Sep 21 17:36:59 2018
Timers Off: Fri Sep 21 17:37:03 2018

Wall Time:        3.25 seconds

V: Grid                     :      0.100u      0.017s      0.068w      1 calls
JK: (A|mn)                  :      0.167u      0.000s      0.055w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.035w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.004w      1 calls
JK: (A|mn)^L                :      0.067u      0.000s      0.024w      1 calls
JK: (A|Q)^-1                :      0.117u      0.000s      0.033w      1 calls
JK: (Q|mn)^L                :      0.000u      0.000s      0.003w      1 calls
JK: (A|mn)^R                :      0.083u      0.000s      0.029w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.074w      1 calls
SAD Guess                   :      0.250u      0.000s      0.072w      1 calls
HF: Form G                  :      4.233u      0.050s      1.286w     10 calls
RV: Form V                  :      4.050u      0.033s      1.228w     10 calls
Properties                  :      1.355p                          10054 calls
Functional                  :      0.833p                          10054 calls
V_xc                        :      0.512p                           9140 calls
JK: D                       :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     10 calls
JK: JK                      :      0.183u      0.017s      0.057w     10 calls
JK: J                       :      0.000u      0.000s      0.004w     10 calls
JK: J1                      :      0.000u      0.000s      0.003w     10 calls
JK: J2                      :      0.000u      0.000s      0.001w     10 calls
JK: K                       :      0.083u      0.000s      0.015w     10 calls
JK: K1                      :      0.067u      0.000s      0.013w     10 calls
JK: K2                      :      0.017u      0.000s      0.002w     10 calls
JK: wK                      :      0.067u      0.000s      0.036w     20 calls
JK: wK1                     :      0.050u      0.000s      0.033w     40 calls
JK: wK2                     :      0.017u      0.000s      0.002w     20 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     10 calls
HF: Form F                  :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     10 calls
DIISManager::add_entry      :      0.000u      0.000s      0.001w      9 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      8 calls
bMatrix setup               :      0.000u      0.000s      0.000w      8 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      8 calls
New vector                  :      0.000u      0.000s      0.000w      8 calls
HF: Form C                  :      0.033u      0.000s      0.005w     10 calls
HF: Form D                  :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb           :      0.117u      0.017s      0.041w      1 calls
Grad: S                     :      0.000u      0.000s      0.000w      1 calls
Grad: JK                    :      1.133u      0.017s      0.345w      1 calls
JKGrad: Amn                 :      0.183u      0.000s      0.056w      1 calls
JKGrad: Awmn                :      0.133u      0.017s      0.044w      1 calls
JKGrad: AB                  :      0.117u      0.000s      0.035w      1 calls
JKGrad: UV                  :      0.000u      0.000s      0.001w      1 calls
JKGrad: ABx                 :      0.083u      0.000s      0.022w      1 calls
JKGrad: Amnx                :      0.583u      0.000s      0.176w      1 calls
Grad: XC                    :      0.717u      0.017s      0.217w      1 calls
V_xc gradient               :      0.142p                            914 calls

-----------------------------------------------------------
V: Grid                     :      0.100u      0.017s      0.068w      1 calls
JK: (A|mn)                  :      0.167u      0.000s      0.055w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.035w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.004w      1 calls
JK: (A|mn)^L                :      0.067u      0.000s      0.024w      1 calls
JK: (A|Q)^-1                :      0.117u      0.000s      0.033w      1 calls
JK: (Q|mn)^L                :      0.000u      0.000s      0.003w      1 calls
JK: (A|mn)^R                :      0.083u      0.000s      0.029w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.074w      1 calls
| SAD Guess                 :      0.250u      0.000s      0.072w      1 calls
HF: Form G                  :      4.233u      0.050s      1.286w     10 calls
| RV: Form V                :      4.050u      0.033s      1.228w     10 calls
| | Properties              :      1.154p                           9140 calls
| | Functional              :      0.756p                           9140 calls
| | V_xc                    :      0.512p                           9140 calls
| JK: D                     :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     10 calls
| JK: JK                    :      0.183u      0.017s      0.057w     10 calls
| | JK: J                   :      0.000u      0.000s      0.004w     10 calls
| | | JK: J1                :      0.000u      0.000s      0.003w     10 calls
| | | JK: J2                :      0.000u      0.000s      0.001w     10 calls
| | JK: K                   :      0.083u      0.000s      0.015w     10 calls
| | | JK: K1                :      0.067u      0.000s      0.013w     10 calls
| | | JK: K2                :      0.017u      0.000s      0.002w     10 calls
| | JK: wK                  :      0.067u      0.000s      0.036w     20 calls
| | | JK: wK1               :      0.050u      0.000s      0.033w     40 calls
| | | JK: wK2               :      0.017u      0.000s      0.002w     20 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     10 calls
HF: Form F                  :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     10 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.001w      9 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.001w      8 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      8 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      8 calls
| | New vector              :      0.000u      0.000s      0.000w      8 calls
HF: Form C                  :      0.033u      0.000s      0.005w     10 calls
HF: Form D                  :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb           :      0.117u      0.017s      0.041w      1 calls
Grad: S                     :      0.000u      0.000s      0.000w      1 calls
Grad: JK                    :      1.133u      0.017s      0.345w      1 calls
| JKGrad: Amn               :      0.183u      0.000s      0.056w      1 calls
| JKGrad: Awmn              :      0.133u      0.017s      0.044w      1 calls
| JKGrad: AB                :      0.117u      0.000s      0.035w      1 calls
| JKGrad: UV                :      0.000u      0.000s      0.001w      1 calls
| JKGrad: ABx               :      0.083u      0.000s      0.022w      1 calls
| JKGrad: Amnx              :      0.583u      0.000s      0.176w      1 calls
Grad: XC                    :      0.717u      0.017s      0.217w      1 calls
| Properties                :      0.201p                            914 calls
| Functional                :      0.077p                            914 calls
| V_xc gradient             :      0.142p                            914 calls

***********************************************************

Host: d-snes-l-dc-01

Timers On : Fri Sep 21 17:37:03 2018
